char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
ť	\u0165	1	LATIN SMALL LETTER T WITH CARON	bop   1				
Ū	\u016a	3931	LATIN CAPITAL LETTER U WITH MACRON	acc   21	ap90  3	ben   144	bhs   8	bop   1
				cae   1	gst   4	inm   64	md    52	mw    32
				mw72  193	mwe   2	pe    605	pgn   14	pui   177
				pw    215	pwg   2114	sch   2	shs   62	stc   141
				vei   21	wil   55			
ū	\u016b	76322	LATIN SMALL LETTER U WITH MACRON	acc   6257	ae    2	ap90  509	ben   2152	bhs   6426
				bop   1	bor   18	bur   3540	cae   63	ccs   38
				gra   6375	gst   543	ieg   920	inm   6487	lan   635
				mci   4354	md    2775	mw    2657	mw72  14350	mwe   54
				pe    4834	pgn   254	pui   2412	pw    824	pwg   1155
				sch   2997	shs   154	snp   267	stc   2938	vei   2064
				wil   242	yat   25			
ŭ	\u016d	132	LATIN SMALL LETTER U WITH BREVE	ben   13	bhs   2	bop   14	lan   10	md    13
				mw    39	mw72  41			
ů	\u016f	4	LATIN SMALL LETTER U WITH RING ABOVE	mw    4				
ŷ	\u0177	4	LATIN SMALL LETTER Y WITH CIRCUMFLEX	gra   1	mw    2	mw72  1		
ź	\u017a	9	LATIN SMALL LETTER Z WITH ACUTE	bop   3	mw72  6			
ż	\u017c	8	LATIN SMALL LETTER Z WITH DOT ABOVE	mw    8				
ž	\u017e	5	LATIN SMALL LETTER Z WITH CARON	lan   1	mw    3	mw72  1		
ǎ	\u01ce	2	LATIN SMALL LETTER A WITH CARON	gra   2				
ǐ	\u01d0	6	LATIN SMALL LETTER I WITH CARON	gra   6				
ǔ	\u01d4	13	LATIN SMALL LETTER U WITH CARON	gra   13				
ǣ	\u01e3	23	LATIN SMALL LETTER AE WITH MACRON	lan   23				
Ǵ	\u01f4	8	LATIN CAPITAL LETTER G WITH ACUTE	bop   8				
ǵ	\u01f5	18	LATIN SMALL LETTER G WITH ACUTE	bop   17	mw72  1			
ȩ	\u0229	1	LATIN SMALL LETTER E WITH CEDILLA	mw    1				
ȳ	\u0233	2	LATIN SMALL LETTER Y WITH MACRON	lan   2				
˘	\u02d8	3730	BREVE	bhs   1	bur   8	gst   112	lan   2	mw    48
				mw72  1079	pw    1	pwg   2479		
̀	\u0300	2	COMBINING GRAVE ACCENT	lan   1	sch   1			
́	\u0301	35420	COMBINING ACUTE ACCENT	gra   32038	lan   1376	md    1723	mw    14	mw72  10
				sch   259				
̂	\u0302	9	COMBINING CIRCUMFLEX ACCENT	md    9				
̃	\u0303	164	COMBINING TILDE	mci   8	pwg   156			
̄	\u0304	6	COMBINING MACRON	gra   2	mw72  3	pwg   1		
̆	\u0306	328	COMBINING BREVE	ben   190	inm   7	mci   17	md    13	mw    4
				pwg   1	sch   1	snp   32	stc   59	vei   4
̐	\u0310	2	COMBINING CANDRABINDU	md    1	mw72  1			
̲	\u0332	1	COMBINING LOW LINE	mw    1				
ְ	\u05b0	2	HEBREW POINT SHEVA	gra   2				
ֵ	\u05b5	1	HEBREW POINT TSERE	gra   1				
ּ	\u05bc	1	HEBREW POINT DAGESH OR MAPIQ	gra   1				
א	\u05d0	3	HEBREW LETTER ALEF	pwg   3				
ב	\u05d1	2	HEBREW LETTER BET	pwg   2				
ד	\u05d3	1	HEBREW LETTER DALET	gra   1				
ה	\u05d4	1	HEBREW LETTER HE	pwg   1				
י	\u05d9	5	HEBREW LETTER YOD	pwg   5				
כ	\u05db	1	HEBREW LETTER KAF	pwg   1				
ל	\u05dc	3	HEBREW LETTER LAMED	pwg   3				
ם	\u05dd	3	HEBREW LETTER FINAL MEM	pwg   3				
מ	\u05de	1	HEBREW LETTER MEM	pwg   1				
נ	\u05e0	3	HEBREW LETTER NUN	gra   1	pwg   2			
ר	\u05e8	1	HEBREW LETTER RESH	gra   1				
ँ	\u0901	2	DEVANAGARI SIGN CANDRABINDU	mw    2				
।	\u0964	5	DEVANAGARI DANDA	gst   5				
ᳲ	\u1cf2	3	VEDIC SIGN ARDHAVISARGA	bur   2	mw    1			
ḋ	\u1e0b	1	LATIN SMALL LETTER D WITH DOT ABOVE	sch   1				
Ḍ	\u1e0c	4049	LATIN CAPITAL LETTER D WITH DOT BELOW	acc   90	ap90  3	ben   155	bhs   5	gst   1
				inm   15	mci   3	md    27	mw    17	mw72  37
				mwe   1	pe    382	pgn   19	pui   5	pw    1213
				pwg   1792	sch   5	shs   55	snp   30	stc   63
				wil   131				
ḍ	\u1e0d	48328	LATIN SMALL LETTER D WITH DOT BELOW	acc   4291	ap90  419	ben   1284	bhs   3641	bop   1
				bor   26	bur   2202	cae   51	ccs   26	gra   744
				gst   144	ieg   2091	inm   4954	lan   166	mci   3142
				md    1252	mw    2872	mw72  8201	mwe   2	pe    4946
				pgn   268	pui   1665	pw    510	pwg   897	sch   1984
				shs   105	snp   120	stc   1486	vei   530	wil   236
				yat   72				
ḏ	\u1e0f	122	LATIN SMALL LETTER D WITH LINE BELOW	ieg   122				
Ḥ	\u1e24	16	LATIN CAPITAL LETTER H WITH DOT BELOW	ben   4	pe    9	pwg   3		
ḥ	\u1e25	40195	LATIN SMALL LETTER H WITH DOT BELOW	acc   574	ap90  6	ben   249	bhs   7917	bor   2
				bur   29	cae   1	gra   98	gst   9	ieg   175
				inm   16756	lan   38	mci   8540	md    474	mw    125
				mw72  2524	pe    438	pgn   31	pui   97	pw    31
				pwg   107	sch   964	snp   11	stc   478	vei   519
				wil   2				
Ḱ	\u1e30	56	LATIN CAPITAL LETTER K WITH ACUTE	bhs   56				
ḳ	\u1e33	4	LATIN SMALL LETTER K WITH DOT BELOW	mw72  4				
Ḷ	\u1e36	21	LATIN CAPITAL LETTER L WITH DOT BELOW	ben   1	md    2	pui   2	stc   15	wil   1
ḷ	\u1e37	652	LATIN SMALL LETTER L WITH DOT BELOW	acc   16	ben   20	bhs   180	bur   84	gra   4
				ieg   35	inm   1	lan   10	mci   5	md    40
				mw72  197	pe    2	pgn   4	pui   10	pwg   5
				sch   8	stc   18	vei   12	wil   1	
Ḹ	\u1e38	2	LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON	pui   1	wil   1			
ḹ	\u1e39	9	LATIN SMALL LETTER L WITH DOT BELOW AND MACRON	bur   1	mw72  8			
ḻ	\u1e3b	350	LATIN SMALL LETTER L WITH LINE BELOW	ieg   320	lan   25	mw    5		
Ṃ	\u1e42	4325	LATIN CAPITAL LETTER M WITH DOT BELOW	ben   61	inm   1	md    22	pe    181	pw    735
				pwg   3242	shs   3	stc   44	wil   36	
ṃ	\u1e43	85126	LATIN SMALL LETTER M WITH DOT BELOW	acc   5617	ap90  222	ben   1724	bhs   18664	bur   1372
				cae   7	ccs   8	gra   2087	gst   2	ieg   518
				inm   16569	lan   419	mci   11452	md    2353	mw    2485
				mw72  5846	pe    2496	pgn   171	pui   566	pw    544
				pwg   802	sch   2786	shs   3	snp   29	stc   3615
				vei   4717	wil   52			
Ṅ	\u1e44	5605	LATIN CAPITAL LETTER N WITH DOT ABOVE	ben   77	md    12	mw72  1	pe    353	pw    814
				pwg   4273	stc   32	wil   43		
ṅ	\u1e45	39571	LATIN SMALL LETTER N WITH DOT ABOVE	acc   4265	ap90  237	ben   764	bhs   3138	bop   21
				bor   1	bur   1776	cae   41	ccs   25	gra   478
				gst   296	ieg   754	inm   3765	lan   151	mci   2157
				md    1077	mw    3590	mw72  7601	pe    3136	pgn   203
				pui   586	pw    671	pwg   737	sch   1904	snp   82
				stc   1173	vei   822	wil   120		
Ṇ	\u1e46	9736	LATIN CAPITAL LETTER N WITH DOT BELOW	acc   6	ben   169	inm   2	md    23	mw72  1
				pe    1016	pw    2003	pwg   4728	shs   647	stc   29
				wil   1112				
ṇ	\u1e47	217012	LATIN SMALL LETTER N WITH DOT BELOW	acc   20240	ae    2	ap90  3708	ben   4203	bhs   13290
				bop   5	bor   104	bur   5640	cae   422	ccs   233
				gra   6818	gst   1560	ieg   3384	inm   22600	lan   558
				mci   12934	md    4850	mw    19269	mw72  28952	mwe   24
				pe    20599	pgn   1031	pui   7774	pw    3967	pwg   12296
				sch   5881	shs   239	snp   254	stc   5522	vei   8428
				wil   2216	yat   9			
ṉ	\u1e49	862	LATIN SMALL LETTER N WITH LINE BELOW	ieg   50	mw    812			
ṙ	\u1e59	1	LATIN SMALL LETTER R WITH DOT ABOVE	ieg   1				
Ṛ	\u1e5a	89352	LATIN CAPITAL LETTER R WITH DOT BELOW	acc   254	ap90  121	ben   481	bhs   42	bur   58
				cae   94	ccs   5	gst   328	ieg   6	inm   739
				mci   240	md    192	mw    1125	mw72  2294	mwe   8
				pe    1612	pgn   30	pui   512	pw    3767	pwg   75577
				sch   181	shs   16	stc   816	vei   411	wil   443
ṛ	\u1e5b	120306	LATIN SMALL LETTER R WITH DOT BELOW	acc   6384	ap90  730	ben   4960	bhs   5307	bop   8
				bor   17	bur   5698	cae   178	ccs   86	gra   10537
				gst   1940	ieg   750	inm   13351	lan   1291	mci   7124
				md    4718	mw    12043	mw72  18772	mwe   23	pe    6514
				pgn   243	pui   5279	pw    1212	pwg   1963	sch   3921
				shs   15	snp   145	stc   4860	vei   2090	wil   146
				yat   1				
Ṝ	\u1e5c	149	LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON	ben   32	md    9	mw72  1	stc   107	
ṝ	\u1e5d	1344	LATIN SMALL LETTER R WITH DOT BELOW AND MACRON	ben   218	bhs   10	bop   2	bur   339	gra   161
				ieg   1	inm   40	mci   36	md    32	mw72  503
				sch   1	vei   1			
ṟ	\u1e5f	240	LATIN SMALL LETTER R WITH LINE BELOW	ieg   240				
Ṡ	\u1e60	1	LATIN CAPITAL LETTER S WITH DOT ABOVE	sch   1				
ṡ	\u1e61	5	LATIN SMALL LETTER S WITH DOT ABOVE	mw    5				
Ṣ	\u1e62	9065	LATIN CAPITAL LETTER S WITH DOT BELOW	acc   190	ap90  1	ben   266	bhs   5	ieg   4
				inm   220	mci   7	md    122	mw    222	mw72  209
				mwe   5	pe    1030	pgn   22	pui   46	pw    2347
				pwg   2927	sch   11	stc   381	vei   58	wil   992
ṣ	\u1e63	214964	LATIN SMALL LETTER S WITH DOT BELOW	acc   11810	ap90  2263	ben   5910	bhs   15604	bor   75
				bur   9252	cae   584	ccs   155	gra   14416	gst   606
				ieg   2040	inm   26491	lan   1703	mci   14448	md    6672
				mw    9904	mw72  33894	mwe   51	pe    16973	pgn   799
				pui   9156	pw    4618	pwg   6677	sch   7190	snp   380
				stc   8129	vei   4595	wil   563	yat   6	
Ṭ	\u1e6c	12417	LATIN CAPITAL LETTER T WITH DOT BELOW	acc   145	ben   191	bhs   2	gst   1	ieg   20
				md    42	mw    13	mw72  30	pe    526	pgn   1
				pui   6	pw    1484	pwg   9741	sch   4	shs   49
				stc   86	wil   76			
ṭ	\u1e6d	89500	LATIN SMALL LETTER T WITH DOT BELOW	acc   14530	ap90  409	ben   2474	bhs   6840	bop   8
				bor   20	bur   3777	cae   50	ccs   28	gra   2329
				gst   514	ieg   2680	inm   7919	lan   462	mci   4277
				md    2504	mw    6189	mw72  14875	mwe   1	pe    5239
				pgn   605	pui   1850	pw    746	pwg   1398	sch   5047
				shs   42	snp   240	stc   2823	vei   1465	wil   148
				yat   11				
ṯ	\u1e6f	10	LATIN SMALL LETTER T WITH LINE BELOW	ieg   10				
ẓ	\u1e93	5	LATIN SMALL LETTER Z WITH DOT BELOW	gra   1	mw    1	mw72  3		
Ạ	\u1ea0	5	LATIN CAPITAL LETTER A WITH DOT BELOW	bur   5				
ạ	\u1ea1	94	LATIN SMALL LETTER A WITH DOT BELOW	ben   2	bur   89	gra   3		
ẽ	\u1ebd	8	LATIN SMALL LETTER E WITH TILDE	bop   8				
–	\u2013	1	EN DASH	lan   1				
—	\u2014	642361	EM DASH	bor   11	cae   4130	ccs   2855	gra   14889	inm   22439
				krm   5528	lan   2097	mci   81	mw    262599	mw72  60405
				mwe   13960	pe    2218	pgn   27	pui   17866	pw    143248
				pwg   87274	sch   2217	snp   1	vei   516	
‘	\u2018	91016	LEFT SINGLE QUOTATION MARK	acc   88	ae    10851	ap90  2592	ben   152	bhs   891
				bor   65	gst   1584	ieg   2299	inm   32	krm   14818
				lan   2822	mci   400	md    1	mw    20722	mw72  12347
				mwe   12222	pe    896	pgn   954	pui   27	shs   11
				skd   1398	snp   5	vcp   248	vei   5582	wil   8
				yat   1				
’	\u2019	90716	RIGHT SINGLE QUOTATION MARK	acc   88	ae    10902	ap90  2454	ben   153	bhs   949
				bor   65	gst   1542	ieg   2310	inm   34	krm   14820
				lan   2775	mci   396	md    22	mw    20721	mw72  12189
				mwe   12204	pe    893	pgn   944	pui   32	shs   12
				skd   1350	snp   5	vcp   251	vei   5597	wil   7
				yat   1				
