¦  (\u00a6) 55390 := BROKEN BAR
ṃ  (\u1e43)  5846 := LATIN SMALL LETTER M WITH DOT BELOW
Ṅ  (\u1e44)     1 := LATIN CAPITAL LETTER N WITH DOT ABOVE
ṅ  (\u1e45)  7601 := LATIN SMALL LETTER N WITH DOT ABOVE
Ṇ  (\u1e46)     1 := LATIN CAPITAL LETTER N WITH DOT BELOW
ṇ  (\u1e47) 28952 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (\u1e5a)  2294 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b) 18772 := LATIN SMALL LETTER R WITH DOT BELOW
Ṝ  (\u1e5c)     1 := LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
ṝ  (\u1e5d)   503 := LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
Ṣ  (\u1e62)   209 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63) 33894 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)    30 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d) 14876 := LATIN SMALL LETTER T WITH DOT BELOW
ẓ  (\u1e93)     3 := LATIN SMALL LETTER Z WITH DOT BELOW
ἀ  (\u1f00)   134 := GREEK SMALL LETTER ALPHA WITH PSILI
ἁ  (\u1f01)     7 := GREEK SMALL LETTER ALPHA WITH DASIA
ἄ  (\u1f04)    77 := GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
ἅ  (\u1f05)    12 := GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
ἆ  (\u1f06)     1 := GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI
Ἀ  (\u1f08)     3 := GREEK CAPITAL LETTER ALPHA WITH PSILI
Ἄ  (\u1f0c)     2 := GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
ἐ  (\u1f10)   103 := GREEK SMALL LETTER EPSILON WITH PSILI
ἑ  (\u1f11)    26 := GREEK SMALL LETTER EPSILON WITH DASIA
ἔ  (\u1f14)    77 := GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
ἕ  (\u1f15)    31 := GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
Ἑ  (\u1f19)     1 := GREEK CAPITAL LETTER EPSILON WITH DASIA
ἠ  (\u1f20)    13 := GREEK SMALL LETTER ETA WITH PSILI
ἡ  (\u1f21)     8 := GREEK SMALL LETTER ETA WITH DASIA
ἤ  (\u1f24)     4 := GREEK SMALL LETTER ETA WITH PSILI AND OXIA
ἥ  (\u1f25)    10 := GREEK SMALL LETTER ETA WITH DASIA AND OXIA
ἦ  (\u1f26)     4 := GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI
ἧ  (\u1f27)     5 := GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
Ἡ  (\u1f29)     1 := GREEK CAPITAL LETTER ETA WITH DASIA
Ἥ  (\u1f2d)     2 := GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
ἰ  (\u1f30)    49 := GREEK SMALL LETTER IOTA WITH PSILI
ἱ  (\u1f31)    29 := GREEK SMALL LETTER IOTA WITH DASIA
ἴ  (\u1f34)    38 := GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
ἵ  (\u1f35)    10 := GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
ἶ  (\u1f36)    14 := GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
ἷ  (\u1f37)     2 := GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
ὀ  (\u1f40)    64 := GREEK SMALL LETTER OMICRON WITH PSILI
ὁ  (\u1f41)    20 := GREEK SMALL LETTER OMICRON WITH DASIA
ὄ  (\u1f44)    34 := GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
ὅ  (\u1f45)    11 := GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
Ὀ  (\u1f48)     3 := GREEK CAPITAL LETTER OMICRON WITH PSILI
Ὄ  (\u1f4c)     1 := GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
ὐ  (\u1f50)    28 := GREEK SMALL LETTER UPSILON WITH PSILI
ὑ  (\u1f51)    30 := GREEK SMALL LETTER UPSILON WITH DASIA
ὔ  (\u1f54)    12 := GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
ὕ  (\u1f55)    11 := GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
ὖ  (\u1f56)    19 := GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὗ  (\u1f57)     1 := GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
Ὑ  (\u1f59)     1 := GREEK CAPITAL LETTER UPSILON WITH DASIA
ὠ  (\u1f60)    12 := GREEK SMALL LETTER OMEGA WITH PSILI
ὡ  (\u1f61)     1 := GREEK SMALL LETTER OMEGA WITH DASIA
ὤ  (\u1f64)     6 := GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
ὥ  (\u1f65)     2 := GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
ὦ  (\u1f66)     1 := GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI
ᾰ  (\u1fb0)     1 := GREEK SMALL LETTER ALPHA WITH VRACHY
ᾱ  (\u1fb1)    18 := GREEK SMALL LETTER ALPHA WITH MACRON
ᾳ  (\u1fb3)     1 := GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
ᾴ  (\u1fb4)     1 := GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
ᾶ  (\u1fb6)    15 := GREEK SMALL LETTER ALPHA WITH PERISPOMENI
ᾷ  (\u1fb7)     2 := GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
᾽  (\u1fbd)     3 := GREEK KORONIS
ῃ  (\u1fc3)     1 := GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI
